Vessel Name,Port call Type,Port Type,Port At call,ATA/ATD,Origin Port Name,Leg Start Port,Intransit,MMSI,IMO
KALAMARU,ARRIVAL,Port,LAMB,2022-08-23 20:58 UTC,REDLAND BAY,REDLAND BAY,Not in Transit,503701500,0
YU CHANG SHENG 9168,DEPARTURE,Port,JINGJIANG,2022-08-23 20:58 UTC,-,-,In Transit,413813104,0
SPLASH,ARRIVAL,Port,PORT TOWNSEND,2022-08-23 20:58 UTC,PORT LUDLOW,PORT LUDLOW,Not in Transit,338183697,0
OTTER,DEPARTURE,Port,LUDWIGSHAFEN,2022-08-23 20:58 UTC,-,-,Not in Transit,244139023,0
LOUIS JOLLIET,ARRIVAL,Port,QUEBEC,2022-08-23 20:58 UTC,QUEBEC,QUEBEC,Not in Transit,316013356,5212749
KONAK,DEPARTURE,Port,AZOV,2022-08-23 20:58 UTC,-,-,In Transit,577398000,8933203
SPUNKY,DEPARTURE,Port,VANCOUVER,2022-08-23 20:58 UTC,-,-,Not in Transit,316034466,0
TYCHO BRAHE,ARRIVAL,Port,HELSINGOR,2022-08-23 20:58 UTC,HELSINGBORG,HELSINGBORG,Not in Transit,219230000,9007116
LUJININGHUO5065,DEPARTURE,Port,ZHENJIANG,2022-08-23 20:58 UTC,-,-,Not in Transit,413998564,0
LE BOREAL,DEPARTURE,Port,NY ALESUND,2022-08-23 20:58 UTC,-,-,In Transit,578000500,9502506
SENDO NAVE,DEPARTURE,Port,AMSTERDAM,2022-08-23 20:58 UTC,-,-,Not in Transit,244076746,0
BLUEGAIL,ARRIVAL,Marina,GENOA BAY,2022-08-23 20:58 UTC,GANGES,GANGES,Not in Transit,368107860,0
BETTY CUTHBERT,ARRIVAL,Port,RODD POINT,2022-08-23 20:58 UTC,SYDNEY,SYDNEY,Not in Transit,503376100,9038608
SVITZER MUHARRAQ,DEPARTURE,Port,HIDD,2022-08-23 20:58 UTC,-,-,Not in Transit,408315000,9370886
SHEGARDIAH,ARRIVAL,Port,SHUAIBA,2022-08-23 20:58 UTC,PORT LOUIS,SHUAIBA ANCH,Not in Transit,447278000,9856701
FORTUNE STAR,DEPARTURE,Canal,SUEZ CANAL,2022-08-23 20:58 UTC,-,-,Not in Transit,538009251,9436721
ATLANTICO,ARRIVAL,Port,NITEROI,2022-08-23 20:58 UTC,RIO DE JANEIRO,RIO DE JANEIRO,Not in Transit,710001290,7321324
TRIUMPHANT,ARRIVAL,Port,LONG BEACH,2022-08-23 20:58 UTC,LONG BEACH,LONG BEACH,Not in Transit,367580930,0
JIANG DONG HUO 806,ARRIVAL,Port,YIZHENG,2022-08-23 20:58 UTC,ZHENJIANG,ZHENJIANG,Not in Transit,413977066,0
