Vessel Name,Port call Type,Port Type,Port At call,ATA/ATD,Origin Port Name,Leg Start Port,Intransit,MMSI,IMO
0S T0BA,DEPARTURE,Port,CORUNA,2022-09-19 17:58 UTC,-,-,Not in Transit,224031680,0
05119 04 43,DEPARTURE,Port,TIANJIN,2022-09-19 17:54 UTC,-,-,Not in Transit,816717576,0
01118,DEPARTURE,Port,SHANGHAI,2022-09-19 17:51 UTC,-,-,Not in Transit,412401118,0
00000000000000000000,ARRIVAL,Port,JIANGYIN,2022-09-19 17:51 UTC,JIANGYIN,JIANGYIN,Not in Transit,808464464,0
00,DEPARTURE,Port,QINGDAO,2022-09-19 17:48 UTC,-,-,Not in Transit,234906100,0
04293,DEPARTURE,Anchorage,QUANZHOU ANCH,2022-09-19 17:42 UTC,-,-,Not in Transit,700523825,0
06123,ARRIVAL,Port,MAGONG,2022-09-19 17:40 UTC,MAGONG,MAGONG,Not in Transit,201706123,0
01595,ARRIVAL,Port,QUANZHOU,2022-09-19 17:37 UTC,QUANZHOU,QUANZHOU,Not in Transit,700914137,0
05098,ARRIVAL,Anchorage,TIANJIN ANCH,2022-09-19 17:25 UTC,TIANJIN,TIANJIN,Not in Transit,413444471,0
05119 05 59,ARRIVAL,Anchorage,TIANJIN ANCH,2022-09-19 17:23 UTC,TIANJIN,TIANJIN,Not in Transit,345212124,0
03266,DEPARTURE,Port,GANYU,2022-09-19 17:21 UTC,-,-,In Transit,926003266,0
00000000000000000000,ARRIVAL,Port,ZHANGJIAGANG,2022-09-19 17:19 UTC,JIANGYIN,JIANGYIN,Not in Transit,808466504,0
05058,DEPARTURE,Anchorage,NINGDE ANCH,2022-09-19 17:19 UTC,-,-,Not in Transit,200041938,0
00938,ARRIVAL,Port,QINGDAO,2022-09-19 17:15 UTC,QINGDAO,QINGDAO,Not in Transit,412349146,0
02256 9 99,ARRIVAL,Anchorage,DALIAN ANCH,2022-09-19 17:13 UTC,DALIAN,DALIAN,Not in Transit,413000009,0
04069,ARRIVAL,Port,YANGPU,2022-09-19 17:11 UTC,YANGPU,YANGPU,Not in Transit,413804069,0
09108,ARRIVAL,Port,MAGONG,2022-09-19 17:06 UTC,MAGONG,MAGONG,Not in Transit,201709108,0
00197,ARRIVAL,Port,QUANZHOU,2022-09-19 17:06 UTC,QUANZHOU ANCH,QUANZHOU ANCH,Not in Transit,800011862,0
0S T0BA,ARRIVAL,Port,CORUNA,2022-09-19 17:04 UTC,CORUNA,CORUNA,Not in Transit,224031680,0
00197,DEPARTURE,Anchorage,QUANZHOU ANCH,2022-09-19 17:03 UTC,-,-,Not in Transit,800011862,0
06175,ARRIVAL,Port,YANGPU,2022-09-19 17:01 UTC,YANGPU ANCH,YANGPU ANCH,Not in Transit,412306175,0
0S T0BA,DEPARTURE,Port,CORUNA,2022-09-19 17:01 UTC,-,-,Not in Transit,224031680,0
0096 34 93,DEPARTURE,Anchorage,DONGYING ANCH,2022-09-19 17:00 UTC,-,-,Not in Transit,210009634,0
0503,DEPARTURE,Port,SAN DIEGO,2022-09-19 16:56 UTC,-,-,Not in Transit,368926305,0
0009 06 94,DEPARTURE,Port,JINZHOU,2022-09-19 16:54 UTC,-,-,Not in Transit,900000006,0
0009 02 95,DEPARTURE,Port,JINZHOU,2022-09-19 16:49 UTC,-,-,Not in Transit,900000002,0
0009 11 85,DEPARTURE,Port,JINZHOU,2022-09-19 16:49 UTC,-,-,Not in Transit,223501895,0
