Vessel Name,Port call Type,Port Type,Port At call,ATA/ATD,Origin Port Name,Leg Start Port,Intransit,MMSI,IMO
OCEAN ECLIPSE,ARRIVAL,Port,ST MARGARET'S HOPE,2022-09-19 18:54 UTC,ST MARGARET'S HOPE,ST MARGARET'S HOPE,Not in Transit,232029991,0
MM MADRID,DEPARTURE,Port,JEBEL ALI,2022-09-19 18:54 UTC,-,-,Not in Transit,341104000,9128324
NAUTICA TG PUTERIXII,DEPARTURE,Anchorage,MALACCA ANCH,2022-09-19 18:54 UTC,-,-,Not in Transit,533130899,9608166
MALASPINA SKY,DEPARTURE,Marina,SALTERY BAY PUBLIC W,2022-09-19 18:54 UTC,-,-,Not in Transit,316012774,9370458
GAUDOS,ARRIVAL,Port,CIRKEWWA,2022-09-19 18:54 UTC,MGARR,MGARR,Not in Transit,248928000,9176319
PARS 101,DEPARTURE,Port,SHARJAH,2022-09-19 18:54 UTC,-,-,Not in Transit,422762000,9442847
CANNON,ARRIVAL,Port,DARWIN,2022-09-19 18:54 UTC,DARWIN,DARWIN,Not in Transit,503000810,0
AMAMAGNA,ARRIVAL,Port,NYERGESUJFALU,2022-09-19 18:54 UTC,BUDAPEST,BUDAPEST,Not in Transit,269057657,0
FJORDLYS,ARRIVAL,Port,JELSA,2022-09-19 18:54 UTC,STAVANGER,STAVANGER,Not in Transit,257338000,9734953
ARGONAUT,DEPARTURE,Anchorage,KOEGE ANCH,2022-09-19 18:54 UTC,-,-,Not in Transit,219461000,7232690
JEAN ANGO,ARRIVAL,Anchorage,ROUEN ANCH,2022-09-19 18:54 UTC,PORT JEROME,PORT JEROME,Not in Transit,228029800,9614763
ENBARR,DEPARTURE,Port,FLOTTA,2022-09-19 18:54 UTC,-,-,In Transit,235077698,0
PAULINE ANETTE,DEPARTURE,Port,MAINZ,2022-09-19 18:54 UTC,-,-,In Transit,244690402,0
AMBITION,DEPARTURE,Port,DUNKIRK,2022-09-19 18:54 UTC,-,-,Not in Transit,205376690,0
BOR,DEPARTURE,Port,CORUNA,2022-09-19 18:54 UTC,-,-,In Transit,244690038,0
OEL SHRAVAN,DEPARTURE,Port,TUTICORIN,2022-09-19 18:54 UTC,-,-,Not in Transit,353963000,9162368
MADELINE,DEPARTURE,Marina,APOSTLE ISLANDS,2022-09-19 18:54 UTC,-,-,Not in Transit,367332010,0
TONG GU LING,DEPARTURE,Port,XINHIAXIANG,2022-09-19 18:54 UTC,-,-,Not in Transit,413523220,0
VICTORIA OF WIGHT,ARRIVAL,Port,FISHBOURNE,2022-09-19 18:54 UTC,PORTSMOUTH,PORTSMOUTH,Not in Transit,232015630,9791028
TRIANGLE,DEPARTURE,Port,MONDORF,2022-09-19 18:54 UTC,-,-,In Transit,244710133,2314429
TONGRANGONG66,DEPARTURE,Port,NANTONG,2022-09-19 18:54 UTC,-,-,Not in Transit,413792745,0
IPANAGIA TOY KASTROU,ARRIVAL,Port,KALYMNOS,2022-09-19 18:54 UTC,KOS,KALYMNOS ANCH,Not in Transit,237364000,0
BAHARIYE,ARRIVAL,Port,YALOVA,2022-09-19 18:54 UTC,ESKIHISAR,ESKIHISAR,Not in Transit,271043393,8734396
DIHAO19,DEPARTURE,Port,YANGZHOU,2022-09-19 18:54 UTC,-,-,In Transit,413798283,0
PORTAFERRY II,DEPARTURE,Marina,PORTAFERRY,2022-09-19 18:54 UTC,-,-,Not in Transit,235003307,9237436
PR MAXIMA,DEPARTURE,Port,VLISSINGEN STAD,2022-09-19 18:54 UTC,-,-,Not in Transit,244169000,9275933
ENHYDRA,ARRIVAL,Port,SAN FRANCISCO,2022-09-19 18:54 UTC,SAN FRANCISCO,SAN FRANCISCO,Not in Transit,368052630,0
EVOLUTION A,ARRIVAL,Canal,ISTANBUL,2022-09-19 18:54 UTC,YANGZHOU,ISTANBUL ANCH,Not in Transit,636022024,9931226
VICTORY VI,DEPARTURE,Port,PORT MCNEILL,2022-09-19 18:54 UTC,-,-,Not in Transit,316038807,0
SHUN QIANG 19,DEPARTURE,Port,QUANZHOU,2022-09-19 18:54 UTC,-,-,Not in Transit,413363270,8660870
YONGGANGZHONGLIAN1,DEPARTURE,Port,NINGBO,2022-09-19 18:54 UTC,-,-,Not in Transit,412429860,0
DURICHA,ARRIVAL,Port,CHEMPARK LEVERKUSEN,2022-09-19 18:54 UTC,NIEHL,NIEHL,Not in Transit,244630038,0
AURORA WINDS,ARRIVAL,Marina,DOCA DE BELEM,2022-09-19 18:54 UTC,DOCA DE BELEM,DOCA DE BELEM,Not in Transit,263933990,0
ZETA I,ARRIVAL,Anchorage,WILLEMSTAD ANCH,2022-09-19 18:54 UTC,WILLEMSTAD,WILLEMSTAD,Not in Transit,351062000,9539676
BUCHANAN12,DEPARTURE,Port,NEW YORK,2022-09-19 18:54 UTC,-,-,Not in Transit,366993970,0
ZHETONGXIANGCAO00588,ARRIVAL,Port,ZHENJIANG,2022-09-19 18:54 UTC,ZHENJIANG,ZHENJIANG,Not in Transit,413811089,0
FLYING CLOUD,DEPARTURE,Port,BOSTON,2022-09-19 18:54 UTC,-,-,Not in Transit,367578710,0
LOCH SHIRA,ARRIVAL,Port,CUMBRAE SLIP,2022-09-19 18:54 UTC,LARGS,LARGS,Not in Transit,235053239,9376919
DORADO,ARRIVAL,Port,OAKLAND,2022-09-19 18:54 UTC,SAN FRANCISCO,SAN FRANCISCO,Not in Transit,368248520,0
ECHO 1,DEPARTURE,Port,VALLETTA,2022-09-19 18:54 UTC,-,-,Not in Transit,256000615,0
BELLA VITA,ARRIVAL,Port,BREMERTON,2022-09-19 18:54 UTC,BAINBRIDGE ISLAND,BAINBRIDGE ISLAND,Not in Transit,338208999,0
FUYUE006,DEPARTURE,Port,SHENZHEN,2022-09-19 18:54 UTC,-,-,In Transit,413901878,0
TT LIBERTY,DEPARTURE,Port,NORFOLK,2022-09-19 18:54 UTC,-,-,Not in Transit,338240879,0
FORTUNA,ARRIVAL,Port,KESSEL,2022-09-19 18:54 UTC,GRAVE,GRAVE,Not in Transit,244650952,0
MIGUEL TORGA,ARRIVAL,Port,BARREIRO,2022-09-19 18:54 UTC,LISBOA,LISBOA,Not in Transit,263701370,9283368
TONGDASHUNHANG,DEPARTURE,Port,NANJING,2022-09-19 18:54 UTC,-,-,Not in Transit,413833274,0
LONGWEI5169,ARRIVAL,Port,ZHENJIANG,2022-09-19 18:54 UTC,NANJING,NANJING,Not in Transit,413953679,0
JAMES WILLIAM,DEPARTURE,Marina,WORLD FAIR,2022-09-19 18:54 UTC,-,-,Not in Transit,367198950,8654364
GRAND BOHEMIA,ARRIVAL,Port,PRAGUE,2022-09-19 18:54 UTC,PRAGUE,PRAGUE,Not in Transit,270590000,0
SHAN HU HAI,ARRIVAL,Port,SALAVERRY,2022-09-19 18:54 UTC,ANTOFAGASTA,SALAVERRY ANCH,Not in Transit,477730100,9738117
AUSTIN,ARRIVAL,Port,PORT ARTHUR,2022-09-19 18:54 UTC,HOUSTON,HOUSTON,Not in Transit,368097520,0
FAIRPLAY III,DEPARTURE,Port,ROTTERDAM MAASVLAKTE,2022-09-19 18:54 UTC,-,-,Not in Transit,244616000,9365116
TANG XIN 6,ARRIVAL,Port,NINGBO,2022-09-19 18:54 UTC,TAIZHOU,TAIZHOU,Not in Transit,413347670,0
WAN CHI ZHOUHUO 6917,DEPARTURE,Anchorage,CHANGSHU ANCH,2022-09-19 18:54 UTC,-,-,Not in Transit,413812332,0
VAGARI,ARRIVAL,Port,GRAVE,2022-09-19 18:54 UTC,GOUDA,GOUDA,Not in Transit,244620981,3160382
BOQUERON,ARRIVAL,Port,RODMAN,2022-09-19 18:54 UTC,BALBOA,BALBOA,Not in Transit,374744000,0
YUEHAI37,DEPARTURE,Port,GUANGZHOU,2022-09-19 18:54 UTC,-,-,In Transit,413843621,0
ATLAS,DEPARTURE,Anchorage,BROFJORDEN ANCH,2022-09-19 18:54 UTC,-,-,Not in Transit,265030000,8962412
HUAYANG918,DEPARTURE,Port,JINGJIANG,2022-09-19 18:54 UTC,-,-,In Transit,413854584,0
FORT FISHER,ARRIVAL,Port,SOUTHPORT,2022-09-19 18:54 UTC,SOUTHPORT,SOUTHPORT,Not in Transit,367432480,8645143
FAR NIENTE,ARRIVAL,Marina,CAMACHEE,2022-09-19 18:54 UTC,CAMACHEE,CAMACHEE,Not in Transit,386115820,0
BLUE BADGER,ARRIVAL,Port,NANAIMO,2022-09-19 18:54 UTC,TOWNSITE,TOWNSITE,Not in Transit,367501110,0
FLYING CAT 5,DEPARTURE,Port,SPETSES,2022-09-19 18:54 UTC,-,-,Not in Transit,237836900,9134543
